image,status,conflict_method,docling_easyocr_preprocessed__chars,docling_qwen3-vlm-4B_preprocessed__chars,charsim__docling_easyocr_preprocessed__vs__docling_qwen3-vlm-4B_preprocessed,jaccard__docling_easyocr_preprocessed__vs__docling_qwen3-vlm-4B_preprocessed,min_charsim,mean_charsim,min_jaccard,mean_jaccard
pages-84-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1770,2075,0.2034,0.5084,0.2034,0.2034,0.5084,0.5084
pages-84-b,MISSING,docling_easyocr_preprocessed,11,51,0.0,0.0,0.0,0.0,0.0,0.0
pages-85-a,BLANK,,0,261,0.0,0.0,0.0,0.0,0.0,0.0
pages-85-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1775,1952,0.5114,0.5404,0.5114,0.5114,0.5404,0.5404
pages-86-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1476,2186,0.2938,0.4007,0.2938,0.2938,0.4007,0.4007
pages-86-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,974,2127,0.0284,0.2351,0.0284,0.0284,0.2351,0.2351
pages-87-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2906,3560,0.2147,0.5561,0.2147,0.2147,0.5561,0.5561
pages-87-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2128,3250,0.2142,0.3881,0.2142,0.2142,0.3881,0.3881
pages-88-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3134,3920,0.3944,0.4564,0.3944,0.3944,0.4564,0.4564
pages-88-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1747,2387,0.1321,0.4181,0.1321,0.1321,0.4181,0.4181
pages-89-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2579,3631,0.2383,0.4313,0.2383,0.2383,0.4313,0.4313
pages-89-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1907,3399,0.0645,0.341,0.0645,0.0645,0.341,0.341
pages-90-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2616,3408,0.2085,0.4805,0.2085,0.2085,0.4805,0.4805
pages-90-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2853,3627,0.4694,0.492,0.4694,0.4694,0.492,0.492
pages-91-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3030,3639,0.1466,0.5578,0.1466,0.1466,0.5578,0.5578
pages-91-b,BLANK,,0,257,0.0,0.0,0.0,0.0,0.0,0.0
pages-92-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,55,72,0.8189,0.4211,0.8189,0.8189,0.4211,0.4211
pages-92-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,80,92,0.5116,0.5455,0.5116,0.5116,0.5455,0.5455
pages-93-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,23,33,0.75,0.4,0.75,0.75,0.4,0.4
pages-93-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2679,3124,0.3129,0.5935,0.3129,0.3129,0.5935,0.5935
pages-94-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3325,3732,0.1627,0.6675,0.1627,0.1627,0.6675,0.6675
pages-94-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2669,3106,0.5555,0.601,0.5555,0.5555,0.601,0.601
pages-95-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2984,4071,0.1279,0.4313,0.1279,0.1279,0.4313,0.4313
pages-95-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2037,3505,0.4749,0.3712,0.4749,0.4749,0.3712,0.3712
pages-96-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2508,3205,0.5276,0.4648,0.5276,0.5276,0.4648,0.4648
pages-96-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1943,3225,0.0906,0.374,0.0906,0.0906,0.374,0.374
pages-97-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2496,2829,0.2757,0.5589,0.2757,0.2757,0.5589,0.5589
pages-97-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2178,2937,0.1024,0.5044,0.1024,0.1024,0.5044,0.5044
pages-98-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2165,3435,0.2118,0.3484,0.2118,0.2118,0.3484,0.3484
pages-98-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2187,3189,0.1142,0.484,0.1142,0.1142,0.484,0.484
