image,status,conflict_method,docling_easyocr_preprocessed__chars,docling_qwen3-vlm-4B_preprocessed__chars,charsim__docling_easyocr_preprocessed__vs__docling_qwen3-vlm-4B_preprocessed,jaccard__docling_easyocr_preprocessed__vs__docling_qwen3-vlm-4B_preprocessed,min_charsim,mean_charsim,min_jaccard,mean_jaccard
pages-146-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,16,16,0.75,0.5,0.75,0.75,0.5,0.5
pages-147-a,BLANK,,0,255,0.0,0.0,0.0,0.0,0.0,0.0
pages-147-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,696,806,0.4594,0.7048,0.4594,0.4594,0.7048,0.7048
pages-148-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1453,1930,0.2034,0.5094,0.2034,0.2034,0.5094,0.5094
pages-148-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,765,1178,0.2131,0.3056,0.2131,0.2131,0.3056,0.3056
pages-149-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2935,3688,0.1655,0.5145,0.1655,0.1655,0.5145,0.5145
pages-149-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2347,3567,0.4011,0.367,0.4011,0.4011,0.367,0.367
pages-150-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2563,3070,0.1008,0.5556,0.1008,0.1008,0.5556,0.5556
pages-150-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2029,3751,0.1294,0.3326,0.1294,0.1294,0.3326,0.3326
pages-151-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2360,3310,0.194,0.3973,0.194,0.194,0.3973,0.3973
pages-151-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1720,3879,0.1136,0.3024,0.1136,0.1136,0.3024,0.3024
pages-152-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1915,2790,0.037,0.315,0.037,0.037,0.315,0.315
pages-152-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1129,3009,0.1682,0.2685,0.1682,0.1682,0.2685,0.2685
pages-153-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2332,2974,0.2556,0.3617,0.2556,0.2556,0.3617,0.3617
pages-153-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2209,3041,0.0392,0.4286,0.0392,0.0392,0.4286,0.4286
pages-154-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1336,2826,0.1788,0.2447,0.1788,0.1788,0.2447,0.2447
pages-154-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,722,2725,0.1329,0.1903,0.1329,0.1329,0.1903,0.1903
pages-155-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2969,3824,0.2947,0.4358,0.2947,0.2947,0.4358,0.4358
pages-155-b,MISSING,docling_easyocr_preprocessed,0,34617,0.0,0.0,0.0,0.0,0.0,0.0
pages-156-a,BLANK,,0,103,0.0,0.0,0.0,0.0,0.0,0.0
pages-156-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2853,3859,0.2274,0.4498,0.2274,0.2274,0.4498,0.4498
